service_id,date,exception_type
"757_102150","20170502","1"
"757_102150","20170503","1"
"757_102150","20170504","1"
"757_102150","20170505","1"
"757_102150","20170506","1"
"757_102150","20170508","1"
"757_102150","20170509","1"
"757_102150","20170510","1"
"757_102150","20170511","1"
"757_102150","20170512","1"
"757_102150","20170513","1"
"757_102150","20170515","1"
"757_102150","20170516","1"
"757_102150","20170517","1"
"757_102150","20170518","1"
"757_102150","20170519","1"
"757_102150","20170520","1"
"757_102150","20170522","1"
"757_102150","20170523","1"
"757_102150","20170524","1"
"757_102150","20170525","1"
"757_102150","20170526","1"
"757_102150","20170527","1"
"757_102150","20170529","1"
"757_102150","20170530","1"
"757_102150","20170531","1"
"757_102150","20170601","1"
"757_102150","20170603","1"
"757_102150","20170605","1"
"757_102150","20170606","1"
"757_102150","20170607","1"
"757_102150","20170915","1"
"757_102150","20170916","1"
"757_102150","20170918","1"
"757_102150","20170919","1"
"757_102150","20170920","1"
"757_102150","20170921","1"
"757_102150","20170922","1"
"757_102150","20170923","1"
"757_102150","20170925","1"
"757_102150","20170926","1"
"757_102150","20170927","1"
"757_102150","20170928","1"
"757_102150","20170929","1"
"757_102150","20170930","1"
"757_102150","20171002","1"
"757_102150","20171003","1"
"757_102150","20171004","1"
"757_102150","20171005","1"
"757_102150","20171006","1"
"757_102150","20171007","1"
"757_102150","20171009","1"
"757_102150","20171010","1"
"757_102150","20171011","1"
"757_102150","20171012","1"
"757_102150","20171013","1"
"757_102150","20171014","1"
"757_102150","20171016","1"
"757_102150","20171017","1"
"757_102150","20171018","1"
"757_102150","20171019","1"
"757_102150","20171020","1"
"757_102150","20171021","1"
"757_102150","20171023","1"
"757_102150","20171024","1"
"757_102150","20171025","1"
"757_102150","20171026","1"
"757_102150","20171027","1"
"757_102150","20171028","1"
"757_102150","20171030","1"
"757_102150","20171031","1"
"757_102150","20171102","1"
"757_102150","20171103","1"
"757_102150","20171104","1"
"757_102150","20171106","1"
"757_102150","20171107","1"
"757_102150","20171108","1"
"757_102150","20171109","1"
"757_102150","20171110","1"
"757_102150","20171111","1"
"757_102150","20171113","1"
"757_102150","20171114","1"
"757_102150","20171115","1"
"757_102150","20171116","1"
"757_102150","20171117","1"
"757_102150","20171118","1"
"757_102150","20171120","1"
"757_102150","20171121","1"
"757_102150","20171122","1"
"757_102150","20171123","1"
"757_102150","20171124","1"
"757_102150","20171125","1"
"757_102150","20171127","1"
"757_102150","20171128","1"
"757_102150","20171129","1"
"757_102150","20171130","1"
"757_102150","20171201","1"
"757_102150","20171202","1"
"757_102150","20171204","1"
"757_102150","20171205","1"
"757_102150","20171206","1"
"757_102150","20171207","1"
"757_102150","20171209","1"
"757_102150","20171211","1"
"757_102150","20171212","1"
"757_102150","20171213","1"
"757_102150","20171214","1"
"757_102150","20171215","1"
"757_102150","20171216","1"
"757_102150","20171218","1"
"757_102150","20171219","1"
"757_102150","20171220","1"
"757_102150","20171221","1"
"757_102150","20171222","1"
"757_102150","20171223","1"
"757_102150","20171227","1"
"757_102150","20171228","1"
"757_102150","20171229","1"
"757_102150","20171230","1"
"757_102150","20180102","1"
"757_102150","20180103","1"
"757_102150","20180104","1"
"757_102150","20180105","1"
"757_102150","20180108","1"
"757_102150","20180109","1"
"757_102150","20180110","1"
"757_102150","20180111","1"
