service_id,date,exception_type
"757_102150","20170522","1"
"757_102212","20170522","1"
"757_102214","20170522","1"
"757_102234","20170522","1"
"757_102290","20170522","1"
"757_102292","20170522","1"
"757_102334","20170522","1"
"757_102335","20170522","1"
"757_102531","20170522","1"
"757_102712","20170522","1"
"757_102850","20170522","1"
"757_102851","20170522","1"
"757_102890","20170522","1"
"757_102891","20170522","1"
"757_102910","20170522","1"
"757_102970","20170522","1"
"757_102971","20170522","1"
"757_102972","20170522","1"
"757_103131","20170522","1"
"757_103151","20170522","1"
"757_103210","20170522","1"
"757_103280","20170522","1"
"757_103290","20170522","1"
"757_103294","20170522","1"
"757_103318","20170522","1"
"757_103357","20170522","1"
"757_103358","20170522","1"
"757_103472","20170522","1"
"757_103475","20170522","1"
"757_103476","20170522","1"
"757_103910","20170522","1"
"757_103912","20170522","1"
"757_104170","20170522","1"
"757_104233","20170522","1"
"757_104251","20170522","1"
"757_104270","20170522","1"
"757_104296","20170522","1"
"757_104310","20170522","1"
"757_104330","20170522","1"
"757_104331","20170522","1"
"757_104337","20170522","1"
"757_104338","20170522","1"
"757_104433","20170522","1"
"757_104470","20170522","1"
"757_104490","20170522","1"
"757_104491","20170522","1"
"757_104515","20170522","1"
"757_104518","20170522","1"
"757_104531","20170522","1"
"757_104533","20170522","1"
"757_104535","20170522","1"
"757_104537","20170522","1"
"757_104539","20170522","1"
"757_104540","20170522","1"
"757_104541","20170522","1"
"757_104543","20170522","1"
"757_104544","20170522","1"
"757_104551","20170522","1"
"757_104553","20170522","1"
"757_104573","20170522","1"
"757_104590","20170522","1"
"757_108055","20170522","1"
"757_108058","20170522","1"
"757_108059","20170522","1"
"757_108068","20170522","1"
"757_108070","20170522","1"
"757_108071","20170522","1"
"757_108079","20170522","1"
"757_108144","20170522","1"
"757_108145","20170522","1"
"757_108147","20170522","1"
"757_108150","20170522","1"
"757_108172","20170522","1"
"757_108248","20170522","1"
"757_108254","20170522","1"
"757_108300","20170522","1"
"757_108308","20170522","1"
"757_108339","20170522","1"
"757_108351","20170522","1"
"757_108365","20170522","1"
"757_108371","20170522","1"
"757_108375","20170522","1"
"757_108393","20170522","1"
"757_108395","20170522","1"
"757_108411","20170522","1"
"757_108633","20170522","1"
"757_108670","20170522","1"
