route_id,service_id,trip_id,direction_id,shape_id
"450","757_25379","757_1156063","1","2571152348"
"354","757_54633","757_1186300","0","3899418340"
"354","757_54633","757_1186301","0","311059059"
"354","757_54633","757_1186302","1","2120092134"
"354","757_54633","757_1186303","1","3407214851"
"907","757_52980","757_1248560","1","2214052825"
"728","757_54240","757_1260509","1","3892309847"
"767","757_54340","757_1261160","1","3333289435"
"767","757_54340","757_1261161","0","3495222233"
"767","757_54340","757_1261162","1","3333289435"
"767","757_54340","757_1261163","0","3495222233"
"453","757_54778","757_1264583","0","1512118067"
"453","757_54778","757_1264586","1","284503253"
"453","757_54778","757_1264587","0","1512118067"
"504","757_54784","757_1264889","1","1251613738"
"808","757_54924","757_1266880","1","1396303049"
"808","757_54924","757_1266881","1","3109653926"
"180","757_55100","757_1268176","1","3063148827"
"180","757_55100","757_1268177","0","1891773874"
"121","757_55161","757_1268600","0","389521378"
"121","757_55160","757_1268601","0","3312846734"
"121","757_55160","757_1268602","0","3312846734"
"121","757_55161","757_1268620","0","259378847"
"121","757_55161","757_1268621","0","259378847"
"121","757_55161","757_1268622","0","259378847"
"121","757_55162","757_1268623","0","259378847"
"121","757_55160","757_1268624","0","259378847"
"121","757_55160","757_1268625","0","259378847"
"121","757_55160","757_1268626","0","259378847"
"121","757_55161","757_1268627","1","2284194277"
"121","757_55161","757_1268628","1","2284194277"
"121","757_55161","757_1268629","1","2284194277"
"121","757_55162","757_1268630","1","2284194277"
"121","757_55160","757_1268631","1","1519457956"
"121","757_55160","757_1268632","1","1519457956"
"121","757_55161","757_1268633","1","1990508947"
"121","757_55160","757_1268634","1","1990508947"
"121","757_55160","757_1268635","1","2716009937"
"121","757_55160","757_1268636","1","1990508947"
"124","757_55301","757_1269366","0","1181846584"
"124","757_55301","757_1269367","0","1181846584"
"124","757_55301","757_1269368","0","1181846584"
"124","757_55302","757_1269369","0","1654454854"
"124","757_55301","757_1269381","1","640941837"
"124","757_55301","757_1269383","1","1984289440"
"125","757_55306","757_1269400","0","3545152054"
"125","757_55303","757_1269401","0","2556506281"
"125","757_55303","757_1269402","0","2556506281"
"125","757_55304","757_1269403","0","2111828022"
"125","757_55304","757_1269404","0","2111828022"
"125","757_55306","757_1269406","1","945777626"
"125","757_55303","757_1269407","1","945777626"
"125","757_55303","757_1269408","1","2293270221"
"125","757_55304","757_1269409","1","2293270221"
"125","757_55304","757_1269410","1","2293270221"
"125","757_55304","757_1270080","0","2111828022"
"125","757_55304","757_1270081","1","2110741673"
"124","757_55302","757_1270160","1","1477624366"
"4","757_52340","757_1273060","0","1070477638"
"808","757_54924","757_1278601","0","1519070489"
"122","757_56345","757_1278971","1","375790468"
"122","757_56345","757_1278972","0","875660018"
"122","757_56345","757_1278973","1","1527360851"
"122","757_56345","757_1278974","0","286873240"
"504","757_54784","757_1362520","0","2778723001"
"726","757_58881","757_1365925","0","1577625143"
"726","757_58881","757_1365926","1","1164816235"
"231","757_61124","757_1456270","1","2348686253"
"231","757_61124","757_1456272","0","438501562"
"231","757_61124","757_1456273","1","2745106503"
"808","757_61340","757_1458961","0","1519070489"
"808","757_61340","757_1458962","1","3443501261"
"806","757_61341","757_1459485","0","4002287317"
"728","757_65841","757_1649832","0","114368434"
"728","757_65841","757_1649833","1","1855604683"
"728","757_65841","757_1649834","0","114368434"
"536","757_66233","757_1652401","1","4009652259"
"536","757_66235","757_1652412","0","865958636"
"536","757_66235","757_1652413","1","4009652259"
"536","757_66235","757_1652414","1","4009652259"
"536","757_66235","757_1652415","1","2989894075"
"536","757_66235","757_1652416","0","865958636"
"536","757_66235","757_1652417","1","2026611271"
"536","757_66235","757_1652418","0","796732009"
"536","757_66235","757_1652419","1","4009652259"
"536","757_66235","757_1652420","0","865958636"
"536","757_66235","757_1652421","1","1525329392"
"536","757_66235","757_1652422","0","4022197879"
"858","757_66872","757_1659497","1","663723213"
"858","757_66872","757_1659498","0","3070635997"
"858","757_66872","757_1659499","0","3070635997"
"858","757_66872","757_1659500","1","1499001984"
"857","757_66848","757_1659501","0","3583656793"
